"race","state","modeldate","candidate_name","pct_estimate","pct_trend_adjusted","timestamp","contestdate"
"2020D","National","2/21/2020","Joseph R. Biden Jr.",15.56353,NA,"22:36:04 21 Feb 2020",""
"2020D","National","2/20/2020","Pete Buttigieg",10.63028,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/20/2020","Tulsi Gabbard",1.541406,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/20/2020","Tom Steyer",2.238282,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/20/2020","Amy Klobuchar",5.590165,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/20/2020","Michael Bloomberg",16.1001,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/20/2020","Elizabeth Warren",11.99144,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/20/2020","Bernard Sanders",25.32629,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/20/2020","Joseph R. Biden Jr.",16.56944,NA,"19:42:04 20 Feb 2020",""
"2020D","National","2/19/2020","Pete Buttigieg",10.627,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/19/2020","Tulsi Gabbard",1.527184,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/19/2020","Tom Steyer",2.236726,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/19/2020","Amy Klobuchar",5.610174,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/19/2020","Michael Bloomberg",16.17591,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/19/2020","Elizabeth Warren",11.95445,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/19/2020","Bernard Sanders",25.32517,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/19/2020","Joseph R. Biden Jr.",16.58713,NA,"14:33:04 19 Feb 2020",""
"2020D","National","2/18/2020","Pete Buttigieg",10.51258,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/18/2020","Tulsi Gabbard",1.69042,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/18/2020","Tom Steyer",2.168373,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/18/2020","Amy Klobuchar",5.280673,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/18/2020","Michael Bloomberg",16.14476,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/18/2020","Elizabeth Warren",11.57281,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/18/2020","Bernard Sanders",25.1653,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/18/2020","Joseph R. Biden Jr.",16.64063,NA,"21:41:04 18 Feb 2020",""
"2020D","National","2/17/2020","Pete Buttigieg",10.82487,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/17/2020","Tulsi Gabbard",1.862158,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/17/2020","Tom Steyer",2.109942,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/17/2020","Amy Klobuchar",4.699406,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/17/2020","Michael Bloomberg",15.87483,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/17/2020","Elizabeth Warren",11.75763,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/17/2020","Bernard Sanders",22.87243,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/17/2020","Joseph R. Biden Jr.",16.73126,NA,"20:19:13 17 Feb 2020",""
"2020D","National","2/16/2020","Pete Buttigieg",11.21363,NA,"19:16:04 16 Feb 2020",""
"2020D","National","2/16/2020","Tulsi Gabbard",1.524199,NA,"19:16:04 16 Feb 2020",""
"2020D","National","2/16/2020","Tom Steyer",1.921733,NA,"19:16:04 16 Feb 2020",""
"2020D","National","2/16/2020","Amy Klobuchar",4.663634,NA,"19:16:04 16 Feb 2020",""
"2020D","National","2/16/2020","Michael Bloomberg",15.42523,NA,"19:16:04 16 Feb 2020",""
