"Candidate","Total_Absolute_Sentiment","Percent_Sentiment","Total_Sentiment","Count_Tweets","Percent_Tweets","Average_Sentiment","Average_Absolute_Sentiment","Date"
"klobuchar",367.074918628631,0.0452474401800188,129.603238603886,1164,0.0425174416480988,0.111342988491311,0.315356459302947,"2/22/2020"
"sanders",2948.49985288282,0.363446435437564,479.216639080677,10388,0.379442597801074,0.0461317519330648,0.283837105591338,"2/22/2020"
"steyer",128.936765165001,0.0158933729130942,50.1389068628653,468,0.0170946414873799,0.107134416373644,0.275505908472225,"2/22/2020"
"warren",1907.75692413403,0.235159399136453,917.747077749425,6203,0.226577053731234,0.147952132476129,0.30755391328938,"2/22/2020"
"biden",868.992102129605,0.0851193451492716,257.701126097642,3008,0.0896652457745849,0.0856719169207588,0.288893650973938,"2/23/2020"
"bloomberg",823.755831632294,0.0806883707914032,73.9454660937694,2833,0.0844486839359704,0.0261014705590432,0.290771560759722,"2/23/2020"
"buttigieg",1529.55455023,0.149822629419305,430.401384689972,4910,0.146361820729126,0.0876581231547805,0.311518238336049,"2/23/2020"
"klobuchar",476.844066716928,0.0467077371564039,152.388045882896,1615,0.0481414135392136,0.094357923147304,0.295259484035249,"2/23/2020"
"sanders",4338.47140396657,0.424961106032467,1451.43949224798,14087,0.41991832354607,0.103033966937459,0.307976957760103,"2/23/2020"
"steyer",241.518504435194,0.0236571735100639,72.6624798453548,802,0.0239067576832504,0.0906015958171506,0.301145267375554,"2/23/2020"
"warren",1929.96583844204,0.189043637941085,895.538860174798,6292,0.187557754791785,0.142329761629815,0.306733286465678,"2/23/2020"
"biden",732.37555981406,0.0889993164779792,211.882530131539,2477,0.0908490739042729,0.0855399798673958,0.295670391527679,"2/24/2020"
"bloomberg",870.901224047295,0.105833151613802,4.98278490265498,2949,0.10816064551623,0.00168965239154119,0.295320862681348,"2/24/2020"
"buttigieg",841.817045993185,0.102298801057652,344.889452493543,2744,0.100641848523748,0.125688575981612,0.306784637752618,"2/24/2020"
"klobuchar",367.510016015294,0.0446603382456898,138.026721858185,1160,0.0425453878598936,0.118988553326021,0.316818979323529,"2/24/2020"
"sanders",3461.3859627405,0.420632530157873,508.469058913731,11380,0.417384925728957,0.044680936635653,0.304163968606371,"2/24/2020"
"steyer",184.454492606984,0.022415171483169,37.7790012316533,549,0.0201357051164497,0.0688142098937218,0.335982682344233,"2/24/2020"
"warren",1770.55777202072,0.215160690963834,914.869765981569,6006,0.220282413350449,0.1523259683619,0.294798163839614,"2/24/2020"
"biden",1038.25561560233,0.115714316215511,160.336832390454,3440,0.117422173675587,0.0466095442995504,0.301818492907654,"2/25/2020"
"bloomberg",1138.41323800131,0.126876953446176,15.0217273625185,3811,0.130086018569088,0.00394167603319823,0.298717721858125,"2/25/2020"
"buttigieg",1285.81199015309,0.143304647705616,386.173338794094,4110,0.140292190060076,0.0939594498282467,0.312849632640654,"2/25/2020"
"klobuchar",359.44021958639,0.0400598644541526,60.9195345013415,1185,0.0404492080830147,0.0514088898745498,0.303325079819738,"2/25/2020"
"sanders",3253.49036031692,0.362603781477666,231.252707887726,10780,0.36796832332059,0.021452013718713,0.301808011161124,"2/25/2020"
"steyer",284.95568305037,0.0317585106407233,38.5257899535736,900,0.0307209175314036,0.0428064332817485,0.316617425611522,"2/25/2020"
"warren",1612.20992229475,0.179681926060155,785.780263881383,5070,0.17306116876024,0.154986245341496,0.317990122740582,"2/25/2020"
"biden",3170.34136656927,0.146804757378492,412.878192284807,10890,0.145520144317498,0.0379135162795967,0.291124092430603,"2/26/2020"
"bloomberg",3281.53456644605,0.151953632165977,107.133728550018,11924,0.159337208525423,0.00898471390053828,0.275204173636871,"2/26/2020"
"buttigieg",3147.06182143474,0.145726782617984,563.456695585508,10848,0.144958909601122,0.0519410670709355,0.290105256400695,"2/26/2020"
"klobuchar",1627.33931499638,0.0753550251180198,233.069505572109,5719,0.0764214605465357,0.0407535418031315,0.284549626682353,"2/26/2020"
"sanders",4794.76373131021,0.22202471118241,464.180622918975,16920,0.226097414311485,0.0274338429621144,0.283378471117625,"2/26/2020"
"steyer",932.061620899778,0.0431597308608017,98.8885239337539,3248,0.0434021513997461,0.0304459741175351,0.286964784759784,"2/26/2020"
"warren",4642.52855912639,0.214975360676315,1150.5785000151,15286,0.204262711298189,0.0752700837377407,0.303711144781263,"2/26/2020"
"biden",1530.26762480911,0.174319367879419,545.103739451893,4405,0.158498848589522,0.123746592384085,0.347393331398208,"2/27/2020"
"bloomberg",1010.96969977838,0.115163907380317,156.905594231472,3401,0.122373344847438,0.0461351350283658,0.297256600934543,"2/27/2020"
"buttigieg",732.88826343659,0.0834864547464031,308.99573770389,2466,0.0887305699481865,0.125302407828017,0.297197187119461,"2/27/2020"
"klobuchar",351.890460540243,0.0400853560839234,145.491569357748,1172,0.0421704087507196,0.12413956429842,0.300247833225463,"2/27/2020"
"sanders",2397.11810864748,0.273066035415775,291.083292465173,8149,0.293213874496258,0.0357201242441003,0.294161014682474,"2/27/2020"
"steyer",133.043586752625,0.0151555672792995,25.3390968127123,437,0.015723949337939,0.0579842032327512,0.304447566939645,"2/27/2020"
"warren",2622.35124810736,0.298723311214864,1241.23821966095,7762,0.279289004029937,0.15991216434694,0.337844788470415,"2/27/2020"
